线下期末考,线上平时成绩,线上期末考,线上章测试,线下互动,班级_Sheet7,班级_Sheet5,班级_Sheet6,班级_Sheet3,班级_Sheet2,班级_Sheet4,总成绩(线上+线下)
52,42.0,39,10,75.0,0,0,0,0,0,1,77.0
76,45.0,39,10,90.0,1,0,0,0,0,0,88.0
64,48.0,39,10,70.0,0,0,0,0,0,1,84.0
52,40.0,38,9,70.0,0,0,0,0,0,1,74.0
82,49.0,40,10,67.0,0,1,0,0,0,0,91.0
82,49.0,40,10,80.0,1,0,0,0,0,0,92.0
54,41.0,39,10,60.0,0,0,0,0,1,0,76.0
84,49.0,40,10,84.7,0,0,0,1,0,0,93.0
62,40.0,40,10,80.0,0,0,1,0,0,0,80.0
82,40.0,37,10,74.0,0,1,0,0,0,0,84.0
50,49.0,40,10,74.0,0,1,0,0,0,0,81.0
88,48.0,38,10,80.0,1,0,0,0,0,0,92.0
62,49.0,40,10,59.5,0,1,0,0,0,0,84.0
44,43.0,40,10,66.0,0,0,0,1,0,0,75.0
62,49.0,40,10,90.0,1,0,0,0,0,0,86.0
72,49.0,40,10,90.0,1,0,0,0,0,0,90.0
48,40.0,39,10,74.1,0,0,0,1,0,0,75.0
18,47.0,38,10,60.0,0,0,0,0,1,0,68.0
36,38.0,35,4,74.2,0,0,0,1,0,0,63.0
64,26.5,39,0,70.0,0,0,0,0,0,1,63.0
64,43.0,40,10,77.7,0,0,0,1,0,0,82.0
38,44.0,35,7,60.0,0,0,0,0,1,0,68.0
56,49.0,35,10,85.0,0,0,0,0,1,0,81.0
72,39.0,39,6,67.0,0,1,0,0,0,0,79.0
54,48.0,38,10,59.5,0,0,0,1,0,0,80.0
84,49.0,38,10,70.0,0,0,1,0,0,0,91.0
72,49.0,40,10,74.0,0,1,0,0,0,0,88.0
62,47.0,38,10,85.0,0,0,0,0,1,0,84.0
40,40.0,38,9,70.0,0,0,0,0,0,1,71.0
54,33.0,35,9,80.0,0,0,1,0,0,0,68.0
66,41.0,38,9,70.0,0,0,0,0,1,0,80.0
74,49.0,40,10,70.0,0,0,1,0,0,0,89.0
31,30.0,35,6,70.0,0,1,0,0,0,0,55.5
68,49.0,38,10,60.0,0,0,0,0,1,0,85.0
74,49.0,40,10,90.0,1,0,0,0,0,0,90.0
74,49.0,40,10,90.0,0,0,0,0,0,0,90.0
92,49.0,40,10,90.0,1,0,0,0,0,0,96.0
30,49.0,39,10,30.0,0,0,0,0,1,0,68.0
66,44.0,38,10,70.0,0,0,0,0,0,1,82.0
54,40.0,36,8,80.0,0,0,0,0,1,0,74.0
86,47.0,35,10,77.6,0,0,0,1,0,0,87.0
42,41.0,37,10,84.8,0,0,0,1,0,0,73.0
74,49.0,38,10,70.0,0,0,1,0,0,0,87.0
88,49.0,38,10,59.5,0,0,0,1,0,0,91.0
48,46.0,37,8,60.0,0,0,0,0,0,0,75.0
78,49.0,40,10,80.0,0,0,0,0,0,0,91.0
68,41.0,38,9,90.0,0,0,0,0,0,0,82.0
76,42.0,38,10,77.6,0,0,0,1,0,0,85.0
58,44.0,37,10,60.0,0,0,0,0,1,0,78.0
40,49.0,39,10,30.0,0,0,1,0,0,0,72.0
42,49.0,38,10,70.0,0,0,1,0,0,0,77.0
54,49.0,38,10,77.6,0,0,0,1,0,0,82.0
70,46.0,38,9,60.0,0,0,0,0,1,0,83.0
60,40.0,37,10,90.0,0,0,0,0,0,0,79.0
36,46.0,37,10,81.2,0,0,0,1,0,0,74.0
78,49.0,40,10,74.0,0,1,0,0,0,0,90.0
68,30.0,35,6,60.0,0,0,1,0,0,0,63.0
88,49.0,38,10,81.2,0,0,0,1,0,0,93.0
88,48.0,38,10,80.0,0,0,0,0,0,0,92.0
62,49.0,37,10,70.0,0,0,1,0,0,0,83.0
80,49.0,39,10,70.0,0,0,1,0,0,0,90.0
46,49.0,40,10,77.6,0,0,0,1,0,0,80.0
40,42.0,39,10,75.0,0,0,0,0,0,1,73.0
62,41.0,38,9,75.0,0,0,0,0,0,1,79.0
60,49.0,35,10,60.0,0,0,1,0,0,0,80.0
74,49.0,38,9,80.0,0,0,0,0,0,0,88.0
50,44.0,39,10,75.0,0,0,0,0,0,1,78.0
68,41.0,38,9,90.0,1,0,0,0,0,0,82.0
22,46.0,38,10,60.0,0,0,0,0,1,0,68.0
40,40.0,37,9,49.0,0,0,0,1,0,0,68.0
56,49.0,39,10,70.0,0,0,1,0,0,0,82.0
28,44.0,35,10,74.1,0,0,0,1,0,0,68.0
76,40.0,40,9,80.0,0,0,1,0,0,0,84.0
66,42.0,40,10,82.3,0,0,0,1,0,0,83.0
86,49.0,39,9,60.0,0,0,0,0,1,0,91.0
68,40.0,36,10,70.0,0,0,0,0,0,1,79.0
56,33.0,38,10,77.6,0,0,0,1,0,0,73.0
100,50.0,40,10,100.0,0,0,0,0,1,0,100.0
78,49.0,40,10,90.0,0,0,0,0,0,0,92.0
58,49.0,40,10,80.0,0,0,0,0,0,0,84.0
54,41.0,40,10,75.0,0,0,0,0,0,1,78.0
54,37.0,39,9,70.0,0,0,0,0,0,1,74.0
50,49.0,36,10,77.6,0,0,0,1,0,0,79.0
70,36.0,38,10,60.0,1,0,0,0,0,0,78.0
84,49.0,40,10,90.0,0,0,0,0,0,0,93.0
76,49.0,40,10,70.0,0,0,1,0,0,0,89.0
72,49.0,40,10,56.0,0,0,0,1,0,0,87.0
40,41.0,38,9,75.0,0,0,0,0,0,1,72.0
88,49.0,38,10,67.0,0,1,0,0,0,0,92.0
40,47.0,38,10,75.0,0,0,0,0,0,1,76.0
56,40.0,38,10,80.9,0,0,0,1,0,0,77.0
72,31.0,35,7,90.0,1,0,0,0,0,0,71.0
78,47.0,39,9,60.0,0,0,0,0,1,0,87.0
56,30.0,35,6,83.0,0,0,0,0,1,0,61.0
58,43.0,39,10,60.0,0,0,0,0,1,0,79.0
40,43.0,38,10,60.0,0,0,0,0,1,0,72.0
76,40.0,35,10,70.0,1,0,0,0,0,0,80.0
72,49.0,40,10,90.0,0,0,0,0,0,0,90.0
54,42.0,37,9,75.0,0,0,0,0,0,1,76.0
62,49.0,40,10,90.0,1,0,0,0,0,0,86.0
58,49.0,37,10,60.0,0,0,0,0,1,0,81.0
46,41.0,39,10,70.0,0,0,0,0,0,1,74.0
84,49.0,40,10,30.0,0,0,0,0,0,0,86.0
72,40.0,38,9,70.6,0,0,0,1,0,0,81.0
72,49.0,40,10,90.0,0,0,0,0,0,0,90.0
84,49.0,40,10,74.0,0,1,0,0,0,0,92.0
60,44.0,38,9,90.0,1,0,0,0,0,0,81.0
78,49.0,40,10,80.0,1,0,0,0,0,0,91.0
46,49.0,38,10,77.6,0,0,0,1,0,0,79.0
44,40.0,39,9,60.0,0,0,0,0,0,1,72.0
80,49.0,40,10,90.0,1,0,0,0,0,0,92.0
50,48.0,38,10,70.0,0,0,1,0,0,0,79.0
78,49.0,40,10,61.6,0,1,0,0,0,0,89.0
66,43.0,37,10,74.2,0,0,0,1,0,0,81.0
46,49.0,39,10,78.8,0,0,0,1,0,0,80.0
40,40.0,39,10,63.2,0,0,0,1,0,0,71.0
86,48.0,38,10,60.0,0,0,0,0,0,1,90.0
92,44.0,38,10,90.0,1,0,0,0,0,0,92.0
56,41.0,35,9,60.0,0,0,0,0,0,1,74.0
84,30.0,37,9,70.0,1,0,0,0,0,0,78.0
76,49.0,40,10,80.0,1,0,0,0,0,0,90.0
50,40.0,38,10,75.0,0,0,0,0,0,1,75.0
84,49.0,40,10,74.0,0,1,0,0,0,0,92.0
56,45.0,37,10,70.0,0,0,0,0,0,1,79.0
72,49.0,40,10,77.6,0,0,0,1,0,0,89.0
76,40.0,38,10,77.6,0,0,0,1,0,0,83.0
44,49.0,40,10,90.0,0,0,0,0,0,0,81.0
60,49.0,39,10,42.0,0,0,0,1,0,0,81.0
86,49.0,40,10,80.0,0,0,1,0,0,0,93.0
48,37.0,38,0,70.6,0,0,0,1,0,0,66.0
36,40.0,38,9,70.0,0,0,0,0,0,1,69.0
56,40.0,39,10,75.0,0,0,0,0,0,1,77.0
48,42.0,39,10,60.0,0,0,0,0,1,0,75.0
84,49.0,40,10,90.0,0,0,0,0,0,0,93.0
68,49.0,35,10,70.0,0,0,1,0,0,0,84.0
100,50.0,40,10,100.0,0,0,0,0,0,0,100.0
78,33.0,40,9,70.0,0,0,1,0,0,0,80.0
80,49.0,40,10,90.0,1,0,0,0,0,0,92.0
86,47.0,38,9,90.0,0,0,0,0,0,0,91.0
54,26.5,40,8,30.0,0,0,1,0,0,0,60.0
42,45.0,38,10,60.0,0,0,0,0,1,0,74.0
54,49.0,36,10,77.6,0,0,0,1,0,0,80.0
76,49.0,38,10,80.0,0,0,0,0,0,0,89.0
60,49.0,40,10,80.0,0,0,1,0,0,0,85.0
40,40.0,37,8,60.0,0,0,0,0,0,1,69.0
86,49.0,40,10,90.0,0,0,1,0,0,0,94.0
58,49.0,40,10,49.0,0,1,0,0,0,0,82.0
66,49.0,39,10,85.0,0,0,0,0,1,0,87.0
58,41.0,38,10,49.0,0,1,0,0,0,0,76.0
68,40.0,40,10,90.0,1,0,0,0,0,0,83.0
50,40.0,40,10,90.0,0,0,0,0,0,0,77.0
90,49.0,40,10,74.0,0,1,0,0,0,0,94.0
44,43.0,38,9,75.0,0,0,0,0,0,1,74.0
38,49.0,36,10,76.5,0,0,0,1,0,0,75.0
80,49.0,40,10,90.0,0,0,0,0,0,0,92.0
44,46.0,39,10,75.0,0,0,0,0,0,1,77.0
60,46.0,38,10,60.0,0,0,0,0,1,0,80.0
40,36.0,35,1,70.0,0,0,1,0,0,0,55.5
46,43.0,38,10,70.0,0,0,0,0,0,1,75.0
74,40.0,38,10,81.1,0,0,0,1,0,0,83.0
42,40.0,38,9,70.0,0,0,0,0,0,1,71.0
50,40.0,40,10,90.0,1,0,0,0,0,0,77.0
54,39.0,40,9,80.0,0,0,0,0,1,0,76.0
44,40.0,38,10,75.0,0,0,0,0,0,1,73.0
72,49.0,40,10,90.0,1,0,0,0,0,0,90.0
56,44.0,36,9,70.0,0,0,0,0,0,1,77.0
38,43.0,37,10,74.2,0,0,0,1,0,0,72.0
82,49.0,36,9,80.0,0,0,0,0,0,0,89.0
72,49.0,38,10,74.0,0,1,0,0,0,0,87.0
56,44.0,38,10,90.0,0,0,0,0,0,0,80.0
78,49.0,40,10,70.0,1,0,0,0,0,0,90.0
58,40.0,39,10,79.0,0,0,0,1,0,0,78.0
76,49.0,39,10,80.0,0,0,1,0,0,0,90.0
50,42.0,40,10,80.0,0,0,0,1,0,0,78.0
88,49.0,39,10,60.0,1,0,0,0,0,0,92.0
72,39.0,40,10,60.0,1,0,0,0,0,0,81.0
56,41.0,36,10,80.0,0,0,0,1,0,0,77.0
86,40.0,39,10,70.6,0,0,0,1,0,0,87.0
72,31.0,35,7,90.0,0,0,0,0,0,0,71.0
84,30.0,37,9,70.0,0,0,0,0,0,0,78.0
78,49.0,40,10,56.0,0,1,0,0,0,0,89.0
44,42.0,40,10,49.0,0,0,0,1,0,0,73.0
62,43.0,38,10,70.0,0,0,0,0,0,1,80.0
84,49.0,40,10,90.0,0,0,0,0,0,0,93.0
50,44.0,38,9,70.0,0,0,0,0,0,1,76.0
56,41.0,38,10,60.0,1,0,0,0,0,0,76.0
82,49.0,40,10,81.1,0,0,0,1,0,0,92.0
38,41.0,39,10,70.0,0,0,0,0,0,1,72.0
68,49.0,39,10,70.0,0,0,1,0,0,0,86.0
44,40.0,35,9,56.0,0,0,0,1,0,0,68.0
78,49.0,39,10,67.0,0,1,0,0,0,0,89.0
50,40.0,38,10,60.0,0,0,0,0,0,1,74.0
68,49.0,38,10,70.0,0,0,1,0,0,0,86.0
60,49.0,40,10,56.0,0,1,0,0,0,0,83.0
42,42.0,38,9,75.0,0,0,0,0,0,1,73.0
56,46.0,35,9,75.0,0,0,0,0,0,1,77.0
100,50.0,40,10,100.0,0,0,0,1,0,0,100.0
42,45.0,38,10,85.0,0,0,0,0,1,0,76.0
48,48.0,35,10,100.0,0,0,0,1,0,0,58.0
82,49.0,40,10,74.0,0,1,0,0,0,0,92.0
36,40.0,37,8,60.0,0,0,0,0,1,0,67.0
58,49.0,40,10,59.5,0,1,0,0,0,0,83.0
34,27.0,37,1,85.0,0,0,0,0,1,0,57.0
78,41.0,40,10,90.0,1,0,0,0,0,0,87.0
46,30.0,35,6,75.0,0,0,0,0,0,1,57.0
32,41.0,37,9,70.6,0,0,0,1,0,0,68.0
84,49.0,40,10,30.0,1,0,0,0,0,0,86.0
60,49.0,40,10,85.0,0,0,0,0,1,0,85.0
70,49.0,38,10,60.0,1,0,0,0,0,0,85.0
92,49.0,40,10,90.0,0,0,0,0,0,0,96.0
54,40.0,39,10,77.6,0,0,0,1,0,0,77.0
38,38.0,39,2,60.0,0,0,0,0,1,0,64.0
44,40.0,40,10,60.0,0,0,0,0,1,0,73.0
56,40.0,39,10,75.0,0,0,0,0,0,1,77.0
88,49.0,40,10,86.0,0,1,0,0,0,0,94.0
74,45.0,40,10,80.0,0,0,1,0,0,0,87.0
86,49.0,38,10,60.0,0,0,0,0,1,0,91.0
